IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,50414,57.144.216.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i.instagram.com,636,1626,6,5,2026-01-04T08:14:01.091-08:00,2026-01-04T08:14:01.209-08:00
6,fd00:2:fd00:1:fd00:1:fd00:1,42728,2a03:2880:f031:b:face:b00c:0:8e,443,10422,Instagram,com.instagram.android,TLS,Closed,,80,0,1,0,2026-01-04T08:14:01.899-08:00,2026-01-04T08:14:01.899-08:00
17,10.215.173.1,63285,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,edge-mqtt-fallback.facebook.com,77,138,1,1,2026-01-04T08:14:01.902-08:00,2026-01-04T08:14:01.957-08:00
17,10.215.173.1,41574,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,edge-mqtt-fallback.facebook.com,77,126,1,1,2026-01-04T08:14:01.903-08:00,2026-01-04T08:14:01.940-08:00
6,42.3.40.128,443,253.0.0.2,42728,10422,Instagram,com.instagram.android,TLS,Closed,,135,0,3,0,2026-01-04T08:14:01.945-08:00,2026-01-04T08:15:02.110-08:00
6,10.215.173.1,37118,157.240.22.12,443,10422,Instagram,com.instagram.android,HTTPS,Closed,edge-mqtt-fallback.facebook.com,2278,1844,7,6,2026-01-04T08:14:01.976-08:00,2026-01-04T08:14:02.137-08:00
6,fd00:2:fd00:1:fd00:1:fd00:1,57098,2a03:2880:f001:5:face:b00c:0:8e,443,10422,Instagram,com.instagram.android,TLS,Closed,,80,0,1,0,2026-01-04T08:14:02.147-08:00,2026-01-04T08:14:02.147-08:00
17,10.215.173.1,19664,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,edge-mqtt.facebook.com,68,120,1,1,2026-01-04T08:14:02.148-08:00,2026-01-04T08:14:02.176-08:00
17,10.215.173.1,52113,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,2026-01-04T08:14:02.150-08:00,2026-01-04T08:14:02.166-08:00
6,42.3.40.128,443,253.0.0.2,57098,10422,Instagram,com.instagram.android,TLS,Closed,,135,0,3,0,2026-01-04T08:14:02.166-08:00,2026-01-04T08:15:02.197-08:00
6,10.215.173.1,52772,157.240.3.13,443,10422,Instagram,com.instagram.android,HTTPS,Closed,edge-mqtt.facebook.com,2270,1795,7,5,2026-01-04T08:14:02.223-08:00,2026-01-04T08:14:02.272-08:00
6,fd00:2:fd00:1:fd00:1:fd00:1,55176,2a03:2880:f36c:90:face:b00c:0:8e,443,10422,Instagram,com.instagram.android,TLS,Closed,edge-mqtt.facebook.com,80,0,1,0,2026-01-04T08:14:03.285-08:00,2026-01-04T08:14:03.285-08:00
6,42.3.40.128,443,253.0.0.2,55176,10422,Instagram,com.instagram.android,TLS,Closed,,135,0,3,0,2026-01-04T08:14:03.350-08:00,2026-01-04T08:15:03.425-08:00
6,10.215.173.1,53112,57.144.216.144,443,10422,Instagram,com.instagram.android,HTTPS,Closed,edge-mqtt.facebook.com,2270,1835,7,6,2026-01-04T08:14:03.359-08:00,2026-01-04T08:14:03.421-08:00
6,fd00:2:fd00:1:fd00:1:fd00:1,42514,2a03:2880:f357:90:face:b00c:0:8e,443,10422,Instagram,com.instagram.android,TLS,Closed,edge-mqtt-fallback.facebook.com,80,0,1,0,2026-01-04T08:14:04.440-08:00,2026-01-04T08:14:04.440-08:00
6,10.215.173.1,55890,57.144.174.144,443,10422,Instagram,com.instagram.android,HTTPS,Closed,edge-mqtt-fallback.facebook.com,2278,1844,7,6,2026-01-04T08:14:04.514-08:00,2026-01-04T08:14:04.648-08:00
6,10.215.173.1,50422,57.144.216.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i.instagram.com,454,1626,6,5,2026-01-04T08:14:04.519-08:00,2026-01-04T08:14:04.559-08:00
